Healthy,W40,W81,W115,W159,W175,W195,W227,W256,W276,W294,W305,W323,W344,W378,W400,W417,W436,W450,W466,W488,W510,W524,W557,W579,W608,W637,W684,W720,W744,W769,W797,W825,W853,W890,W932
0.595637219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.630784021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637697139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.618258247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.644693119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600376764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.614791334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.625121383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.640091898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.650699644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.651573584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639382965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.641672482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.657439186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.642026312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.653920327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.648662684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.651193352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.659000597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.665441066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.657761316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.648937269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.669566011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.648823839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64226891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.646686474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.644211833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.657550304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.657568039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619839706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65428455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.663522995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.646641322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637793048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.645898991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.652632129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637387182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.626259174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.630500937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637887887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.631850888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.574266468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.576573601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.590974881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.611468326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619110482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.573088284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.575217021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.593804404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.588132317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.585325781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.613267421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.617935617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.630428278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.63964798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.621519635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.636369719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.645351519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637744131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649952781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.651847786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.626686676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.603488642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58629427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.611952728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619003474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
